epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8335,1.67947,3.16645,1.90297,0.00296,1,0.33044,0.14106,1.60771,3.75515,2.33632,4e-05,4e-05,4e-05
2,24.0082,1.4993,2.87499,1.84153,0.00296,1,0.34175,0.18725,1.402,3.80978,2.12504,9.802e-05,9.802e-05,9.802e-05
3,26.4821,1.30587,2.60448,1.68971,0.00296,1,0.65443,0.3646,1.50178,3.70036,2.12021,0.000153664,0.000153664,0.000153664
4,29.0285,1.23182,2.28281,1.67357,0.00259,0.875,0.65889,0.36122,1.21576,3.61667,1.9528,0.000206932,0.000206932,0.000206932
5,31.5598,1.31632,2.19962,1.59295,0.00259,0.875,0.77487,0.48172,1.19065,3.45348,1.80806,0.000257824,0.000257824,0.000257824
6,34.0424,1.13035,2.10736,1.43834,0.00259,0.875,0.7735,0.48442,1.19419,3.44757,1.78642,0.00030634,0.00030634,0.00030634
7,36.9184,1.00043,1.96108,1.39196,0.00259,0.875,0.84375,0.45913,1.47557,3.4674,2.04083,0.00035248,0.00035248,0.00035248
8,39.5782,1.00489,1.70754,1.37687,0.00296,1,0.78194,0.36171,1.6229,3.57873,2.18136,0.000396244,0.000396244,0.000396244
9,42.1923,0.89928,1.56809,1.26302,0.00296,1,0.85942,0.38035,1.60597,3.6426,2.07025,0.000437632,0.000437632,0.000437632
10,44.7593,1.04489,1.61573,1.3939,0.00296,1,0.82837,0.43604,1.48415,3.58261,2.04899,0.000476644,0.000476644,0.000476644
11,47.3366,1.04364,1.39966,1.44721,0.00296,1,0.82142,0.43421,1.62733,3.68089,2.29082,0.00051328,0.00051328,0.00051328
12,49.8216,1.01053,1.53048,1.26512,1,0.87481,0.87558,0.42557,1.72316,3.66727,2.26981,0.00054754,0.00054754,0.00054754
13,52.3373,0.93745,1.38107,1.24632,0.00296,1,0.72996,0.29754,1.7033,3.79941,2.18565,0.000579424,0.000579424,0.000579424
14,54.9334,0.91554,1.3125,1.27296,0.00296,1,0.69625,0.20944,1.73236,3.81207,2.2251,0.000608932,0.000608932,0.000608932
15,57.3952,0.85435,1.2783,1.24488,0.00296,1,0.63142,0.15032,1.87869,3.8875,2.42907,0.000636064,0.000636064,0.000636064
16,59.9038,0.99235,1.54883,1.37004,0.01794,0.875,0.39312,0.09198,1.96143,3.96619,2.47321,0.00066082,0.00066082,0.00066082
17,62.484,0.93849,1.2808,1.25671,0.00571,1,0.1705,0.04595,1.97136,3.75132,2.53722,0.0006832,0.0006832,0.0006832
18,65.1008,0.87104,1.36779,1.30522,0.00296,1,0.28218,0.06729,2.03983,3.73313,2.80464,0.000703204,0.000703204,0.000703204
19,67.6428,0.88419,1.22256,1.22168,0.54953,0.61144,0.48786,0.19688,1.90587,3.30109,2.72649,0.000720832,0.000720832,0.000720832
20,70.2437,0.91325,1.31306,1.33136,0.85007,0.5,0.60127,0.26928,1.94754,3.04939,2.90608,0.000736084,0.000736084,0.000736084
21,72.785,0.81417,1.27984,1.30163,0.80466,0.625,0.64456,0.32255,1.93663,3.03763,2.95994,0.00074896,0.00074896,0.00074896
22,75.2172,0.78019,1.17738,1.17445,0.93244,0.5,0.67633,0.34968,1.92419,2.92485,2.78687,0.00075946,0.00075946,0.00075946
23,77.762,0.75918,1.09098,1.16699,0.74836,0.75,0.73117,0.39695,1.75283,2.64889,2.65504,0.000767584,0.000767584,0.000767584
