epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8314,1.66841,4.05889,1.57608,0.36283,0.34615,0.36368,0.1837,1.87161,9.4762,2.00747,0.00017148,0.00017148,0.00017148
2,43.329,1.56443,2.58028,1.43859,0.55637,0.48278,0.53628,0.27993,1.97694,6.23849,2.10264,0.000357228,0.000357228,0.000357228
3,63.0115,1.41426,1.90885,1.30093,0.49685,0.61538,0.46847,0.2175,1.98943,4.07349,2.43249,0.000542887,0.000542887,0.000542887
4,84.3154,1.48704,1.86082,1.42459,0.44257,0.48886,0.37637,0.13308,2.25024,4.76423,3.08091,0.00072839,0.00072839,0.00072839
5,106.009,1.50988,2.04242,1.38792,0.25523,0.5,0.22732,0.07378,2.35941,9.0134,4.53856,0.000913667,0.000913667,0.000913667
6,127.552,1.62667,1.84149,1.44147,0.09286,0.34649,0.12365,0.04788,3.04414,5.60415,5.64921,0.00109865,0.00109865,0.00109865
7,148.718,1.62116,1.8245,1.51411,0.06755,0.46154,0.05445,0.01962,2.71692,80.6833,4.27394,0.00128327,0.00128327,0.00128327
8,170.255,1.66352,1.88433,1.54291,0.04689,0.38462,0.05814,0.01659,2.25024,58.9411,3.817,0.00142473,0.00142473,0.00142473
9,192.128,1.60814,2.032,1.61721,0.03879,0.34615,0.01933,0.00325,3.00383,306.246,9.34241,0.00142342,0.00142342,0.00142342
10,216.922,1.6937,1.88162,1.65236,0.26519,0.26923,0.22911,0.08188,3.02249,8.9945,6.60183,0.00142194,0.00142194,0.00142194
11,241.055,1.63546,1.75195,1.56299,0.20839,0.61538,0.23713,0.0831,2.64447,12.341,4.54268,0.00142029,0.00142029,0.00142029
12,264.699,1.79879,1.86611,1.67841,0.30438,0.30769,0.20002,0.07839,2.72242,4.71489,3.59281,0.00141847,0.00141847,0.00141847
13,288.478,1.68644,1.67484,1.4996,0.70516,0.26923,0.32601,0.12349,2.63203,3.92955,3.12244,0.00141647,0.00141647,0.00141647
14,311.763,1.67265,1.74417,1.51708,0.10884,0.30769,0.08932,0.02507,2.36644,3.67759,2.85979,0.0014143,0.0014143,0.0014143
15,334.813,1.68904,1.59903,1.51764,0.09352,0.19231,0.03933,0.00907,2.7635,6.70925,5.36878,0.00141196,0.00141196,0.00141196
16,356.988,1.70278,1.77418,1.52932,0.53429,0.46154,0.42342,0.19427,2.30345,3.65784,3.35618,0.00140946,0.00140946,0.00140946
17,377.977,1.59126,1.59444,1.45285,0.57612,0.34615,0.43896,0.19437,2.16685,2.40219,3.34417,0.00140678,0.00140678,0.00140678
18,399.303,1.53328,1.54048,1.4564,0.67429,0.46154,0.5491,0.23429,2.21172,2.67577,2.94348,0.00140393,0.00140393,0.00140393
19,420.548,1.61563,1.68057,1.53301,0.47567,0.26923,0.30849,0.13532,2.05312,2.65402,2.72189,0.00140091,0.00140091,0.00140091
20,441.614,1.72909,1.7914,1.57274,0.65814,0.5,0.58172,0.26043,2.0729,2.35615,2.61896,0.00139773,0.00139773,0.00139773
21,463.566,1.60268,1.69532,1.50281,0.54154,0.54539,0.46793,0.20648,1.98078,2.74623,2.36148,0.00139438,0.00139438,0.00139438
22,485.332,1.5449,1.57668,1.44385,0.48974,0.61538,0.54419,0.23324,1.84666,3.63119,2.31798,0.00139086,0.00139086,0.00139086
23,505.926,1.57803,1.63605,1.44038,0.52496,0.59537,0.52387,0.26061,1.92215,3.09535,2.21995,0.00138718,0.00138718,0.00138718
24,527.031,1.5203,1.54122,1.44947,0.42962,0.69231,0.48959,0.29307,1.58304,3.99209,1.93675,0.00138334,0.00138334,0.00138334
25,548.035,1.53951,1.5084,1.42982,0.5118,0.80769,0.58139,0.28022,1.89064,5.02653,2.36132,0.00137933,0.00137933,0.00137933
26,568.174,1.48756,1.6824,1.45733,0.53656,0.69231,0.53004,0.28219,1.91263,6.63319,2.20766,0.00137516,0.00137516,0.00137516
27,588.453,1.43002,1.36094,1.35211,0.57083,0.5,0.41855,0.16794,1.98277,4.35408,2.72625,0.00137082,0.00137082,0.00137082
28,608.774,1.46869,1.39111,1.41974,0.46805,0.64321,0.49655,0.27789,1.784,3.2269,2.15059,0.00136633,0.00136633,0.00136633
29,628.773,1.3939,1.33047,1.34939,0.44069,0.38462,0.33263,0.14261,2.13378,3.009,2.24598,0.00136168,0.00136168,0.00136168
30,649.442,1.45412,1.425,1.43193,0.765,0.37615,0.47588,0.22705,2.35124,2.11812,2.4485,0.00135687,0.00135687,0.00135687
