image,decision,dest,label_dest
-6050632378104878977_109.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/-6050632378104878977_109.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/-6050632378104878977_109.txt
17781877654811051370868211257558.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17781877654811051370868211257558.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17781877654811051370868211257558.txt
17781879088204696147452769544993.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17781879088204696147452769544993.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17781879088204696147452769544993.txt
17781879277987263780476611159791.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17781879277987263780476611159791.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17781879277987263780476611159791.txt
17781879443993721924931463345086.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17781879443993721924931463345086.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17781879443993721924931463345086.txt
17781883117416527736018266656189.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17781883117416527736018266656189.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17781883117416527736018266656189.txt
17781883365964425470098242318485.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17781883365964425470098242318485.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17781883365964425470098242318485.txt
17781883574971390981031801680223.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17781883574971390981031801680223.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17781883574971390981031801680223.txt
17781884067165873682997580903532.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17781884067165873682997580903532.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17781884067165873682997580903532.txt
17782457496035983097286733102997.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17782457496035983097286733102997.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17782457496035983097286733102997.txt
17782457723287120476682106912110.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17782457723287120476682106912110.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17782457723287120476682106912110.txt
17782459128906320617497506697931.jpg,train,/private/var/www/detectfpvdrones/dataset/images/train/17782459128906320617497506697931.jpg,/private/var/www/detectfpvdrones/dataset/labels/train/17782459128906320617497506697931.txt
